"Name","Description","Star","No. Of reviews","Website","Last review","Service focus","Price","Avarage	Est.","Location","Link","Email","Phone number"
"Intellias","Intelligent Software Engineering","5.0","12 reviews","http://www.intellias.com/?utm_campaign=Clutch&utm_source=ClutchProfile&utm_medium=clutch","""Their willingness to fully understand the projects and our needs makes them a pleasant partner to work with.""","10%  Web Development
50%  Custom Software Development
10%  BI & Big Data Consulting & SI
10%  IoT Development
10%  Mobile App Development
10%  Staff Augmentation
","$50,000+","$25 - $49 / hr","Lviv, Ukraine","https://clutch.co/profile/intellias","info@intellias.com","+ 38 (032) 290-36-90"
"Belitsoft","Full Cycle Software Development Company","4.9","13 reviews","https://belitsoft.com","“They’re clearly dedicated to making the project work, and I like that they offer ideas and alternative solutions.”","35%  Web Development
45%  Custom Software Development
20%  Staff Augmentation
","$10,000+","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/belitsoft","vtursin@belitsoft.com","+375 (25) 694-36-77"
"inVeritaSoft","Creating software for tomorrow's Market Leaders","4.8","11 reviews","http://inveritasoft.com/?utm_source=clutch&utm_medium=referral","“inVeritaSoft always finds the simplest and most economical approach to benefit the client.”","25%  Web Development
45%  Custom Software Development
30%  Staff Augmentation
","$100,000+","$25 - $49 / hr","Lviv, Ukraine","https://clutch.co/profile/inveritasoft","contactus@inveritasoft.com","+1(929) 999 1232"
"Codibly","Excellence in software. Fast and reliable.","4.7","12 reviews","http://www.codibly.com","“They went the extra mile for us... so they could come up with the best technical solutions.”","40%  Web Development
50%  Custom Software Development
10%  Mobile App Development
","$10,000+","$50 - $99 / hr","Krakow, Poland","https://clutch.co/profile/codibly","sales@codibly.com","+442038689713"
"The Software House","Top Tech Partner for Software and SaaS Companies","4.9","26 reviews","https://tsh.io/?utm_source=clutch&utm_medium=referral&utm_campaign=software_development&utm_content=eastern-europe","“Their ability to think beyond the code is amazing.”","60%  Web Development
30%  Custom Software Development
10%  Mobile App Development
","$10,000+","$25 - $49 / hr","Gliwice, Poland","https://clutch.co/profile/software-house","clutch@tsh.io","none"
"Cleveroad","Web and Mobile apps with gorgeous Design","5.0","37 reviews","https://www.cleveroad.com/offer-clutch?utm_source=clutch&utm_medium=referral","""They understand the development process and give their clients peace of mind.""","30%  Web Development
50%  Custom Software Development
10%  E-Commerce Development
10%  Mobile App Development
","$10,000+","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/cleveroad","sales@cleveroad.com","+1-415-231-3721"
"Artelogic","We're number XX..we work harder. •LAMP •MEAN •NET","5.0","24 reviews","https://artelogic.net","""They had a flexibility and willingness to adapt their processes to match my requirements.""","60%  Web Development
40%  Custom Software Development
","$25,000+","$25 - $49 / hr","Lviv, Ukraine","https://clutch.co/profile/artelogic","clutch@artelogic.net","+38 067 200 75 14"
"Qulix Systems","Software Development and IT Consulting Services","4.8","8 reviews","http://www.qulix.com/","""They went the extra mile and we were completely satisfied with the results.""","20%  Web Development
40%  Custom Software Development
20%  Mobile App Development
10%  Application Testing
10%  IoT Development
","$10,000+","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/qulix-systems","request@qulix.com","+375 17 306 3868"
"Sunscrapers","Unrivaled Python & JavaScript Engineers","4.9","15 reviews","https://sunscrapers.com/?utm_source=clutch&utm_medium=main-profile","“Sunscrapers' development contributions to our platform have allowed our business to grow significantly.”","60%  Web Development
40%  Custom Software Development
","$10,000+","$50 - $99 / hr","Warsaw, Poland","https://clutch.co/profile/sunscrapers","hello@sunscrapers.com","none"
"Diceus","Enterprise Software & Market-leading Products","4.8","22 reviews","https://diceus.com/?utm_source=clutch&utm_medium=referral","""I was looking at an [internal] estimate in the $100,000 range, but Diceus is likely to wrap the project up for aroun...""","40%  Web Development
60%  Custom Software Development
","$10,000+","$25 - $49 / hr","Vilnius, Lithuania","https://clutch.co/profile/diceus","info@diceus.com","none"
"EL Passion","Let's Turn Your Idea into a Scalable Business","4.8","15 reviews","http://www.elpassion.com","""The team’s innovative suggestions resulted in a design that exceeded our expectations.""","20%  Web Development
40%  Custom Software Development
20%  Mobile App Development
10%  Blockchain
5%  UX/UI Design
5%  Web Design
","$5,000+","$50 - $99 / hr","Warsaw, Poland","https://clutch.co/profile/el-passion","hello+clutch@elpassion.com","+48 792 541 588"
"Netguru","Full-stack software experts. Fast and Experienced","4.9","24 reviews","https://www.netguru.com/?utm_source=clutch&utm_medium=referral","""Their team is full of knowledgeable people who can answer questions unrelated to our project.""","30%  Web Development
30%  Mobile App Development
20%  Custom Software Development
10%  UX/UI Design
10%  Artificial Intelligence
","$10,000+","$50 - $99 / hr","Poznan, Poland","https://clutch.co/profile/netguru","clutch@netguru.com","+44 2038 713 389"
"Saritasa","Empowering Clients with Technology!","4.8","8 reviews","https://www.saritasa.com/","“They get it right the first time so there’s not a lot of back and forth.”","30%  Web Development
30%  Mobile App Development
30%  Custom Software Development
10%  AR/VR Development
","$25,000+","$100 - $149 / hr","Krasnoyarsk, Russia","https://clutch.co/profile/saritasa","info@saritasa.com","none"
"Itransition","Enterprise Software. Advanced Web and Mobility","4.8","19 reviews","https://www.itransition.com/","""Their rates are awesome compared to others.""","5%  Web Development
40%  Custom Software Development
20%  CRM Consulting and SI
20%  E-Commerce Development
15%  Blockchain
","$10,000+","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/itransition","info@itransition.com","+375 17 3 004 004"
"Intellectsoft","Digital Transformation Consultancy and Engineering","4.8","22 reviews","http://www.intellectsoft.net/?utm_source=clutch.co&utm_medium=referral&utm_content=profile","""Intellectsoft was able to find experts who could build the right infrastructure for us and answer all our questions...""","40%  Mobile App Development
40%  Custom Software Development
20%  Blockchain
","$25,000+","$50 - $99 / hr","Minsk, Belarus","https://clutch.co/profile/intellectsoft","info@intellectsoft.net","+375.17.397.89.72"
"Flexaspect","Professional Software Development","4.9","9 reviews","https://www.flexaspect.com/?utm_source=clutch&utm_medium=referral","""Our collaboration with Flexaspect has surpassed our past experiences with software development vendors.""","20%  Web Development
40%  Custom Software Development
20%  E-Commerce Development
20%  Mobile App Development
","$5,000+","$25 - $49 / hr","Krakow, Poland","https://clutch.co/profile/flexaspect","hi@flexaspect.com","+1-425-247-0867"
"AltexSoft","Technology сonsulting company","4.9","14 reviews","https://www.altexsoft.com/#utm_source=clutch.co&utm_medium=referral&utm_campaign=deveasteu","""AltexSoft’s greatest strength ... is their outstanding approach to project management.""","33%  Web Development
40%  Custom Software Development
17%  Mobile App Development
10%  IT Strategy Consulting
","$25,000+","$50 - $99 / hr","Kharkiv, Ukraine","https://clutch.co/profile/altexsoft","sales@altexsoft.com","+1 877.777.9097"
"Archer Software","We develop success!","4.8","3 reviews","https://goo.gl/AoeFs7","“The level of services is highly competent, personalized, and reliable.”","20%  Web Development
40%  Custom Software Development
20%  Mobile App Development
20%  Staff Augmentation
","$10,000+","$25 - $49 / hr","Dnipro, Ukraine","https://clutch.co/profile/archer-software","info@archer-soft.com","+380 (562) 353377"
"Artezio","The Art of Technology","4.8","6 reviews","https://www.artezio.com/","""They are very responsive. Every time we reach out, they’re prepared to assist us.""","12%  Web Development
40%  Custom Software Development
10%  Mobile App Development
10%  Application Testing
5%  IoT Development
3%  Application Management & Support
3%  Enterprise App Modernization
3%  E-Commerce Development
2%  Other Application Development
2%  Other IT Consulting and SI
2%  BI & Big Data Consulting & SI
2%  Artificial Intelligence
1%  IT Strategy Consulting
1%  CRM Consulting and SI
1%  UX/UI Design
1%  Web Design
1%  Cloud Consulting & SI
1%  Blockchain
","Undisclosed","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/artezio","sales@artezio.com","+375 (29) 620-12-00"
"Polcode","Full-Cycle Software Development house","4.9","13 reviews","https://polcode.com/?utm_source=clutch&utm_medium=referral","""They always deliver excellent results.""","35%  Web Development
30%  Custom Software Development
25%  E-Commerce Development
5%  Enterprise App Modernization
5%  Other Application Development
","$10,000+","$50 - $99 / hr","Warsaw, Poland","https://clutch.co/profile/polcode","sales@polcode.com","+48 22 188 15 06"
"Scand","Custom Software Development Company","4.8","5 reviews","https://scand.com/?utm_source=clutch&utm_medium=referral","“Scand has outranked every other software development company we’ve worked with.”","30%  Web Development
30%  Custom Software Development
20%  Mobile App Development
10%  IoT Development
5%  Application Testing
5%  AR/VR Development
","$1,000+","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/scand","sales@scand.com","none"
"bvblogic","Custom Software Development","4.8","12 reviews","https://bvblogic.com/","""They act like partners and invest time into finding the best solution possible to meet our specs.""","30%  Web Development
50%  Custom Software Development
20%  Mobile App Development
","$5,000+","$25 - $49 / hr","Warsaw, Poland","https://clutch.co/profile/bvblogic","sales@bvblogic.com","none"
"Fayrix","Custom software development & Big Data services","4.9","9 reviews","http://www.fayrix.com/?utm_source=clutch","""Sometimes I didn’t know how we could solve a problem, but Fayrix always helped us identify solutions.""","20%  Web Development
30%  BI & Big Data Consulting & SI
30%  Custom Software Development
20%  Mobile App Development
","$5,000+","< $25 / hr","Russia","https://clutch.co/profile/fayrix","info@fayrix.com","none"
"Bilberrry","Design. Development. Product Strategy.","4.9","8 reviews","http://bilberrry.com/?utm_source=clutch&utm_medium=referral","""Within a month, we had a new site that achieved our objectives.""","30%  Web Development
50%  Custom Software Development
10%  UX/UI Design
10%  Web Design
","$5,000+","$50 - $99 / hr","Kyiv, Ukraine","https://clutch.co/profile/bilberrry","adam@bilberrry.com","(607) 214-0082"
"ScienceSoft","IT Consulting and Software Development","4.8","30 reviews","https://www.scnsoft.com/","“ScienceSoft has done an amazing job of making our internal processes more efficient ... .”","100%  Custom Software Development
","Undisclosed","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/sciencesoft","contact@scnsoft.com","+375 17 293 37 36"
"Vimanet","Web and cloud software experts","4.9","11 reviews","http://vimanet.com/","""Vimanet simplified complex environments into easy-to-use solutions.""","40%  Web Development
60%  Custom Software Development
","$25,000+","$25 - $49 / hr","Krakow, Poland","https://clutch.co/profile/vimanet","sales@vimanet.com","+48 664 385 621"
"Future Processing","Great software… because we put People first","5.0","4 reviews","http://www.future-processing.com/?utm_source=clutch&utm_medium=referral","""The team is cutting-edge in their space and takes ownership of their work.""","20%  Web Development
30%  Custom Software Development
15%  Enterprise App Modernization
10%  Cybersecurity
10%  Mobile App Development
10%  UX/UI Design
5%  Application Management & Support
","$25,000+","$25 - $49 / hr","Gliwice, Poland","https://clutch.co/profile/future-processing","sales@future-processing.com","+44 845 805 74 79"
"Existek","Quality Software Development and Outsourcing","4.9","7 reviews","https://existek.com/?utm_source=clutch&utm_medium=link&utm_content=profile","""I have nothing negative to say, as everything was of the highest possible quality.""","50%  Web Development
40%  Custom Software Development
10%  IT Strategy Consulting
","$10,000+","$25 - $49 / hr","Vinnitsa, Ukraine","https://clutch.co/profile/existek","contact@existek.com","+380986800307"
"JustCoded","Technology Consulting and Web Development","4.8","13 reviews","https://justcoded.com/?utm_source=clutch","“Their professionalism and understanding of the peer-to-peer lending sector is impressive.”","50%  Web Development
30%  Custom Software Development
10%  Mobile App Development
5%  E-Commerce Development
5%  UX/UI Design
","$10,000+","$25 - $49 / hr","Kharkiv, Ukraine","https://clutch.co/profile/justcoded","hello@justcoded.com","+44 20 71933818"
"Azoft","Reliable software development outsourcing partner","5.0","11 reviews","https://www.azoft.com/","""Azoft regularly asks questions and provides feedback.""","20%  Web Development
30%  Mobile App Development
25%  Custom Software Development
5%  Application Testing
5%  BI & Big Data Consulting & SI
5%  CRM Consulting and SI
5%  ERP Consulting and SI
5%  UX/UI Design
","Undisclosed","$25 - $49 / hr","Novosibirsk, Russia","https://clutch.co/profile/azoft","sales@azoft.com","none"
"UKAD","Research and Development IT Center","4.8","14 reviews","https://www.ukad-group.com/","""UKAD delivered a flawless app that our customers love.""","30%  Web Development
60%  Custom Software Development
10%  E-Commerce Development
","$5,000+","$25 - $49 / hr","Kracow, Poland","https://clutch.co/profile/ukad","hi@ukad-group.com","+441143607578"
"ITRex Group","Advanced Web / Mobile and Custom Solutions","4.8","16 reviews","http://itrexgroup.com","“They are our preferred vendor for software development.”","20%  Web Development
40%  Custom Software Development
30%  Mobile App Development
10%  IoT Development
","$10,000+","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/itrex-group","hello@itrexgroup.com","+375296492496"
"Mono Software","Transforming big ideas into exceptional software","5.0","5 reviews","https://mono.software","""On the other hand, they teach us a lesson on almost every project; it couldn’t be better.""","20%  Web Development
30%  Custom Software Development
20%  Mobile App Development
20%  UX/UI Design
10%  Artificial Intelligence
","$5,000+","$25 - $49 / hr","Osijek, Croatia","https://clutch.co/profile/mono-software","info@mono-software.com","+385 31 213966"
"Rolique","Web & Mobile experts: Development & Maintenance","4.8","8 reviews","http://www.rolique.io","“There are a lot of good development agencies out there, but Rolique routinely meets our expectations.”","40%  Web Development
40%  Custom Software Development
20%  Mobile App Development
","$25,000+","$25 - $49 / hr","Wroclaw, Poland","https://clutch.co/profile/rolique","info@rolique.io","+48 717 104 646"
"Stuzo","We're Stuzo, and we're built to build.","5.0","6 reviews","http://www.stuzo.com","""When we come with our ideas, they listen.""","25%  Web Development
30%  Mobile App Development
25%  Custom Software Development
20%  UX/UI Design
","$10,000+","$100 - $149 / hr","Ukraine","https://clutch.co/profile/stuzo","hello@stuzo.com","none"
"Zfort Group","Web & Mobile App Development, Blockchain, IoT","4.9","8 reviews","https://www.zfort.com/?utm_source=clutch&utm_medium=referral","""The influx of traffic and qualified leads is instrumental to our business’ growth.""","40%  Web Development
30%  Custom Software Development
20%  Blockchain
10%  Mobile App Development
","$10,000+","$25 - $49 / hr","Kharkiv, Ukraine","https://clutch.co/profile/zfort-group","contact@zfort.com","+380 67 954 93 84"
"Scopic Software","Custom Solutions for Virtually Everything","5.0","10 reviews","https://scopicsoftware.com/?utm_source=Clutch%20Profile&utm_medium=CTA&utm_campaign=Visit%20Website","“I was impressed by their ability to understand my initial concept and translate it into a functional application.”","70%  Web Development
20%  Custom Software Development
10%  Mobile App Development
","$5,000+","$25 - $49 / hr","Belarus","https://clutch.co/profile/scopic-software","sales@scopicsoftware.com","none"
"ELEKS","The Custom Software Development Company","4.8","15 reviews","https://eleks.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=Clutch","“They always find cutting-edge solutions, and they help bring our ideas to life.”","20%  Custom Software Development
20%  Blockchain
15%  IT Strategy Consulting
15%  Product Design
10%  Cloud Consulting & SI
10%  Staff Augmentation
10%  Artificial Intelligence
","$50,000+","$25 - $49 / hr","Rzeszów , Poland","https://clutch.co/profile/eleks","hello@eleks.com","+1 (702) 978-7116"
"Visuality","Business Driven Development Full Stack Team.","5.0","18 reviews","http://www.visuality.pl/","“They were always quick to understand what I needed, propose solutions, and put them i...","40%  Web Development
30%  Custom Software Development
15%  UX/UI Design
10%  Mobile App Development
5%  IoT Development
","$25,000+","$50 - $99 / hr","Warsaw, Poland","https://clutch.co/profile/visuality","clutch@visuality.pl","+48 22 307 1205"
"Upnetix JSC","Tailored software solutions","4.9","8 reviews","http://upnetix.com","""They are high-caliber, well-rounded people who provided fast, high-quality work that was just lovely.""","20%  Web Development
40%  Custom Software Development
35%  Mobile App Development
5%  E-Commerce Development
","$10,000+","$50 - $99 / hr","Sofia, Bulgaria","https://clutch.co/profile/upnetix-jsc","info@upnetix.com","none"
"Elinext","On time and budget since 1997.","5.0","7 reviews","https://www.elinext.com/","""No matter when we contacted them, they got back to u...""","15%  Web Development
40%  Custom Software Development
20%  Mobile App Development
10%  IoT Development
10%  UX/UI Design
5%  Wearable App Development
","$5,000+","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/elinext","info@elinext.com","+375 (17) 237 5365"
"DeSmart Software House","We Change Ideas Into Amazing Digital Products","4.8","12 reviews","https://desmart.com/","“They know what they are doing, so you can rely on their advice.”","20%  Web Development
60%  Custom Software Development
20%  Mobile App Development
","$10,000+","$25 - $49 / hr","Gdynia, Poland","https://clutch.co/profile/desmart-software-house","hello@desmart.com","+48 588 810 530"
"Prograils","The personal touch in software development","4.9","8 reviews","https://prograils.com/?utm_source=clutch&utm_medium=referral","“We’re impressed with how quick they are.”","20%  Web Development
50%  Custom Software Development
30%  Mobile App Development
","$5,000+","$50 - $99 / hr","Poznan, Poland","https://clutch.co/profile/prograils","hello@prograils.com","48.608310149"
"Skyrise","Outsourcing, software development, UX/UI","4.8","3 reviews","https://skyrise.tech","“I value their honesty and ability to meet deadlines. If they notice any problems they tell us immediately.”","20%  Web Development
40%  Custom Software Development
10%  IoT Development
10%  Mobile App Development
10%  UX/UI Design
10%  Artificial Intelligence
","$25,000+","$50 - $99 / hr","Katowice, Poland","https://clutch.co/profile/skyrise","twozniak@skyrise.tech","+48513128281"
"Miquido","2018 Android Certified Agency by Google","4.7","15 reviews","https://www.miquido.com","""Miquido is dedicated to the customer.""","30%  Web Development
30%  Mobile App Development
20%  UX/UI Design
20%  Custom Software Development
","$25,000+","$50 - $99 / hr","Kraków, Poland","https://clutch.co/profile/miquido","hello@miquido.com","+48 536 083 559"
"Sombra","Custom software development that makes you happy","5.0","15 reviews","https://goo.gl/hnMofm","""Their incredible communication has always stood out.""","10%  Web Development
50%  Custom Software Development
30%  Mobile App Development
10%  Staff Augmentation
","$10,000+","$25 - $49 / hr","Lviv, Ukraine","https://clutch.co/profile/sombra","sales@sombrainc.com","+380322538076"
"Oxagile","Next Gen OTT Solutions Partner","4.4","8 reviews","https://www.oxagile.com/","""[T]hey were the best choice.""","20%  Web Development
40%  BI & Big Data Consulting & SI
30%  Custom Software Development
10%  Blockchain
","$50,000+","$50 - $99 / hr","Minsk, Belarus","https://clutch.co/profile/oxagile","contact@oxagile.com","none"
"evozon","End to end software development","4.7","10 reviews","http://www.evozon.com","“If anything wasn’t perfect the first time, Evozon fixed it and made it outstanding.”","20%  Web Development
25%  Custom Software Development
15%  E-Commerce Development
10%  Application Testing
10%  IT Managed Services
10%  Mobile App Development
10%  UX/UI Design
","$5,000+","$25 - $49 / hr","Transylvania, Romania","https://clutch.co/profile/evozon","samuel.andras@evozon.com","+ 40 364 101204"
"eTeam","The innovator's engineering team","4.9","8 reviews","https://eteam.io","“They’re fast and responsive.”","15%  Web Development
70%  Custom Software Development
15%  Mobile App Development
","$10,000+","$25 - $49 / hr","Kyiv, Ukraine","https://clutch.co/profile/eteam","hello@eteam.io","none"
"Business Logic","We are working on great projects","4.8","4 reviews","http://www.blogic.cz","""Their documentation and communication were great.""","20%  Web Development
50%  Custom Software Development
20%  E-Commerce Development
5%  UX/UI Design
5%  Artificial Intelligence
","$50,000+","$25 - $49 / hr","Zlín, Czech Republic","https://clutch.co/profile/business-logic","sales@blogic.cz","00420774498509"
"Salt & Pepper","Web & Software Development","5.0","5 reviews","https://snp.agency/en","""The results matched our initial vision.""","40%  Web Development
45%  Custom Software Development
15%  E-Commerce Development
","$5,000+","$50 - $99 / hr","Tver, Russia","https://clutch.co/profile/salt-pepper","ak@snp.agency","+7 910 640 05 84"
"Software Planet Group","One-Stop Provider For Software Development","4.9","10 reviews","https://softwareplanetgroup.co.uk","""Software Planet Group never gave us a resource that would under-deliver, and even changed members proactively...""","40%  Web Development
40%  Custom Software Development
7%  Mobile App Development
5%  Application Testing
5%  Enterprise App Modernization
2%  Application Management & Support
1%  Wearable App Development
","$5,000+","$50 - $99 / hr","Cherkasy, Ukraine","https://clutch.co/profile/software-planet-group","request@softwareplanetgroup.co.uk","none"
"Waverley Software","Software Engineering Services","4.9","11 reviews","https://waverleysoftware.com/","""Their developers are top-notch, and the support from their project manager was outstanding.""","10%  Web Development
30%  Custom Software Development
20%  IoT Development
20%  Mobile App Development
10%  Blockchain
10%  Artificial Intelligence
","$50,000+","$25 - $49 / hr","Lviv, Ukraine","https://clutch.co/profile/waverley-software","info@waverleysoftware.com","+1 (650) 238-9205"
"Xfive","Delivering digital products since 2006","5.0","3 reviews","https://xfive.co","""... they’re excellent at explaining things regarding our new platform in a way we can understand.""","35%  Web Development
35%  Custom Software Development
15%  UX/UI Design
15%  Web Design
","$5,000+","$50 - $99 / hr","Krakow, Poland","https://clutch.co/profile/xfive","hello@xfive.co","none"
"First Line Software","Premier provider of custom software development","5.0","2 reviews","https://firstlinesoftware.com/","""Their level of service, attention to detail, quality, and thoroughness are all impressive.""","10%  Web Development
40%  Custom Software Development
10%  E-Commerce Development
10%  IoT Development
10%  Mobile App Development
10%  Wearable App Development
5%  Other Application Development
5%  Blockchain
","Undisclosed","Undisclosed","143 00 Praha 12-Modrany, Czech Republic","https://clutch.co/profile/first-line-software","sales@firstlinesoftware.com","none"
"QArea","SOFTWARE DEVELOPMENT OUTSOURCING","4.8","10 reviews","https://www.qarea.com/","""I need to emphasize [their] professionalism, communication skills, and proactive [approach].""","50%  Web Development
30%  Custom Software Development
20%  Application Testing
","$5,000+","$25 - $49 / hr","Kharkov, Ukraine","https://clutch.co/profile/qarea","marketing@qarea.us","38 057 763 60 24"
"Ingemark","APPsolutely Fabulous","4.9","9 reviews","http://www.ingemark.com","""They balance pragmatism with innovation well..."" ...""","25%  Web Development
40%  Custom Software Development
20%  E-Commerce Development
15%  Mobile App Development
","$10,000+","$50 - $99 / hr","Zagreb, Croatia","https://clutch.co/profile/ingemark","hello@ingemark.com","+385 1 6658 140"
"Daxx","Technology Powered by Talent","4.6","8 reviews","https://www.daxx.com/view/hire-software-developers-ukraine","""When we have all hands meetings, they participate; they’re just like a member of our team.""","15%  Web Development
25%  Custom Software Development
10%  Application Testing
10%  E-Commerce Development
10%  Cybersecurity
5%  BI & Big Data Consulting & SI
5%  IoT Development
5%  IT Strategy Consulting
5%  Mobile App Development
5%  Wearable App Development
5%  Staff Augmentation
","$25,000+","$25 - $49 / hr","Kiev, Ukraine","https://clutch.co/profile/daxx","contact@daxx.com","31(0) 75.302.0012"
"AgileEngine","High performing remote dedicated teams","4.9","23 reviews","http://agileengine.com/","""The tailored communication and personal touch made for a very pleasant collaboration.""","60%  Custom Software Development
30%  Mobile App Development
10%  UX/UI Design
","$50,000+","Undisclosed","Kiev , Ukraine","https://clutch.co/profile/agileengine","kateryna.sokyrko@agileengine.com","none"
"Uran Company","Tailored web and software solutions for business","4.9","4 reviews","http://urancompany.com/","Uran Company is a computer software company, developing web and mobile applications for enterprises to small businesses.","40%  Web Development
40%  Custom Software Development
20%  E-Commerce Development
","$5,000+","$25 - $49 / hr","Plovdiv , Bulgaria","https://clutch.co/profile/uran-company","info@urancompany.com","+359 87 7267117"
